iter	Logloss
0	0.6121431084
1	0.5430885792
2	0.4836104705
3	0.4325353039
4	0.3890989608
5	0.3522867534
6	0.3207136171
7	0.2937127624
8	0.2706643289
9	0.2509499632
10	0.2342307657
11	0.2197037598
12	0.2072087987
13	0.1965375396
14	0.1877237406
15	0.1796797681
16	0.1727543012
17	0.1667705907
18	0.1612821887
19	0.1566546219
20	0.152647327
21	0.1488533723
22	0.1456047585
23	0.142806208
24	0.1401967491
25	0.1379495778
26	0.135872073
27	0.1340304577
28	0.1324301776
29	0.1310159184
30	0.1297291332
31	0.1285722186
32	0.1275568816
33	0.1266220426
34	0.1257828833
35	0.1250288163
36	0.1243531804
37	0.12367363
38	0.1231454392
39	0.1226356925
40	0.1221025898
41	0.1216612453
42	0.1212827356
43	0.1208505847
44	0.1204518869
45	0.1201378746
46	0.1198669372
47	0.1196531955
48	0.1194402465
49	0.1192515917
50	0.1190005072
51	0.118750144
52	0.1186090945
53	0.1184598792
54	0.1183127207
55	0.1181815195
56	0.1179848028
57	0.1178676262
58	0.117683944
59	0.1175556048
60	0.117456417
61	0.1172176248
62	0.1170504606
63	0.1169592083
64	0.1168884511
65	0.1167397647
66	0.1166613469
67	0.1165304605
68	0.1164702954
69	0.1163252352
70	0.116182889
71	0.1161289416
72	0.1160083592
73	0.1159017801
74	0.1158491616
75	0.1158078701
76	0.1156850909
77	0.1156009191
78	0.1155583426
79	0.1155138609
80	0.1154174976
81	0.1153839563
82	0.1152922458
83	0.1151970068
84	0.1151052134
85	0.1150652932
86	0.1150134307
87	0.1149792122
88	0.1148282647
89	0.114794904
90	0.114728156
91	0.1146969061
92	0.1146282778
93	0.11455135
94	0.1145281648
95	0.1144510235
96	0.1144309401
97	0.1143984143
98	0.1143845693
99	0.1143040702
100	0.1142346212
101	0.1142193524
102	0.1141682364
103	0.114106353
104	0.1140630373
105	0.1140391715
106	0.1139857241
107	0.1139623341
108	0.1139109647
109	0.1138571564
110	0.1138415241
111	0.1137927844
112	0.1137738569
113	0.1137369719
114	0.1137317546
115	0.1137130211
116	0.1136771779
117	0.1136375526
118	0.1135825986
119	0.1135268897
120	0.1134929944
121	0.1134735858
122	0.1134284435
123	0.113387339
124	0.113349906
125	0.1133330594
126	0.1133282671
127	0.1132961135
128	0.1130885911
129	0.1130666403
130	0.11304394
131	0.1130383548
132	0.1129888473
133	0.112948484
134	0.1129300747
135	0.1129127282
136	0.1128935001
137	0.1128685444
138	0.1128222203
139	0.1127795739
140	0.1127680771
141	0.1127302409
142	0.1126930836
143	0.1126603166
144	0.1126267338
145	0.1125971662
146	0.1125733954
147	0.1125282459
148	0.1125121491
149	0.112458866
150	0.1124317596
151	0.1123862495
152	0.1123489954
153	0.112318908
154	0.1122849338
155	0.1122451294
156	0.1122327832
157	0.1121679346
158	0.1121551454
159	0.1121240255
160	0.112098
161	0.1119962851
162	0.111961311
163	0.1119371553
164	0.1118944075
165	0.111839071
166	0.1118140231
167	0.1118042224
168	0.1117793072
169	0.1117393465
170	0.1116970248
171	0.1116718676
172	0.1116402929
173	0.1116267187
174	0.1115938414
175	0.1115784609
176	0.1115694016
177	0.1115351175
178	0.1115002948
179	0.1114852262
180	0.1114512221
181	0.1114398591
182	0.1114148972
183	0.1113855125
184	0.1113588458
185	0.1113454712
186	0.1113285005
187	0.1113084933
188	0.1112837051
189	0.1112403416
190	0.1112120497
191	0.1111987743
192	0.111162644
193	0.1111547595
194	0.111131384
195	0.1111249296
196	0.1110963008
197	0.1110848959
198	0.1110614483
199	0.1110306056
