iter	Passed	Remaining
0	27	5485
1	52	5192
2	75	4963
3	100	4939
4	124	4858
5	148	4809
6	173	4771
7	198	4773
8	224	4754
9	248	4725
10	273	4692
11	296	4651
12	320	4605
13	344	4573
14	369	4558
15	395	4548
16	421	4533
17	444	4493
18	468	4465
19	493	4444
20	519	4428
21	545	4417
22	570	4390
23	593	4353
24	620	4341
25	644	4310
26	668	4282
27	693	4259
28	718	4234
29	742	4205
30	771	4204
31	795	4176
32	820	4153
33	846	4134
34	870	4105
35	894	4076
36	921	4060
37	946	4033
38	968	3997
39	991	3964
40	1015	3937
41	1039	3912
42	1064	3887
43	1089	3862
44	1114	3839
45	1140	3817
46	1166	3796
47	1190	3769
48	1214	3742
49	1239	3718
50	1263	3690
51	1287	3663
52	1311	3636
53	1336	3612
54	1360	3586
55	1385	3563
56	1411	3540
57	1437	3518
58	1461	3491
59	1485	3465
60	1509	3440
61	1539	3427
62	1566	3405
63	1592	3383
64	1619	3363
65	1646	3343
66	1670	3316
67	1693	3288
68	1719	3263
69	1747	3245
70	1784	3242
71	1818	3232
72	1854	3225
73	1887	3214
74	1914	3190
75	1941	3167
76	1964	3138
77	1988	3110
78	2013	3083
79	2036	3055
80	2061	3028
81	2083	2998
82	2114	2979
83	2139	2954
84	2165	2929
85	2189	2902
86	2213	2874
87	2238	2848
88	2266	2826
89	2290	2800
90	2315	2773
91	2342	2749
92	2367	2723
93	2392	2698
94	2420	2674
95	2444	2648
96	2470	2622
97	2497	2599
98	2522	2573
99	2546	2546
100	2573	2522
101	2598	2496
102	2622	2469
103	2647	2444
104	2673	2418
105	2697	2392
106	2723	2366
107	2748	2341
108	2772	2315
109	2798	2289
110	2823	2263
111	2847	2237
112	2873	2211
113	2897	2185
114	2921	2159
115	2947	2134
116	2970	2107
117	2994	2080
118	3017	2053
119	3041	2027
120	3065	2001
121	3090	1975
122	3115	1950
123	3138	1923
124	3162	1897
125	3185	1871
126	3211	1846
127	3235	1820
128	3264	1796
129	3288	1770
130	3312	1744
131	3339	1720
132	3363	1694
133	3387	1668
134	3411	1642
135	3436	1617
136	3465	1593
137	3489	1567
138	3512	1541
139	3536	1515
140	3558	1489
141	3583	1463
142	3608	1438
143	3631	1412
144	3656	1387
145	3679	1360
146	3704	1335
147	3731	1311
148	3757	1286
149	3780	1260
150	3805	1234
151	3832	1210
152	3857	1185
153	3880	1159
154	3903	1133
155	3926	1107
156	3952	1082
157	3977	1057
158	4000	1031
159	4023	1005
160	4048	980
161	4077	956
162	4099	930
163	4122	905
164	4147	879
165	4170	854
166	4195	829
167	4220	803
168	4244	778
169	4268	753
170	4293	728
171	4317	702
172	4343	677
173	4367	652
174	4391	627
175	4414	601
176	4439	576
177	4462	551
178	4488	526
179	4512	501
180	4537	476
181	4564	451
182	4588	426
183	4613	401
184	4638	376
185	4663	351
186	4688	325
187	4713	300
188	4738	275
189	4762	250
190	4786	225
191	4811	200
192	4836	175
193	4860	150
194	4884	125
195	4909	100
196	4934	75
197	4959	50
198	4983	25
199	5007	0
